City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saipan,15.1355,145.701,29.39,100,100,8.75,MP,2023-04-22 03:28:07
1,College,64.8569,-147.8028,6.97,49,100,1.54,US,2023-04-22 03:29:31
2,Port-Aux-Francais,-49.35,70.2167,4.88,71,86,7.99,TF,2023-04-22 03:29:31
3,Polyarnyy,69.1989,33.4478,-3.71,78,96,6.91,RU,2023-04-22 03:29:32
4,Burang,30.25,81.1667,-5.85,79,48,1.7,CN,2023-04-22 03:29:32
5,Slave Lake,55.2834,-114.769,3.99,45,100,4.63,CA,2023-04-22 03:29:33
6,Kavaratti,10.5669,72.642,28.81,71,11,3.83,IN,2023-04-22 03:29:34
7,Bethel,41.3712,-73.414,11.47,79,100,4.12,US,2023-04-22 03:25:48
8,Blackmans Bay,-43.0167,147.3167,19.18,60,99,3.03,AU,2023-04-22 03:29:35
9,Villa Huidobro,-34.8383,-64.5869,13.15,71,0,1.35,AR,2023-04-22 03:29:35
10,Hermanus,-34.4187,19.2345,11.56,68,100,2.83,ZA,2023-04-22 03:29:36
11,Hithadhoo,-0.6,73.0833,29.22,73,69,4.01,MV,2023-04-22 03:29:37
12,Ambodifotatra,-16.9833,49.85,24.03,100,40,0.0,MG,2023-04-22 03:29:37
13,Slobozia,46.7281,29.7078,6.26,93,98,3.24,MD,2023-04-22 03:29:38
14,Nyagan,62.1406,65.3936,0.23,100,100,0.97,RU,2023-04-22 03:29:39
15,Siniscola,40.5719,9.6922,5.75,58,52,1.28,IT,2023-04-22 03:29:39
16,Hell-Ville,-13.4,48.2667,24.93,82,40,0.0,MG,2023-04-22 03:29:40
17,La Ronge,55.1001,-105.2842,2.14,35,75,0.51,CA,2023-04-22 03:29:40
18,Kingscliff,-28.2667,153.5667,24.95,57,75,8.75,AU,2023-04-22 03:29:41
19,Yellowknife,62.456,-114.3525,2.29,64,75,2.57,CA,2023-04-22 03:29:42
20,Klyuchi,52.2667,79.1667,2.5,50,2,3.31,RU,2023-04-22 03:29:42
21,Grytviken,-54.2811,-36.5092,2.87,97,100,5.3,GS,2023-04-22 03:26:09
22,Port Elizabeth,-33.918,25.5701,14.16,81,0,1.03,ZA,2023-04-22 03:29:44
23,Castillos,-34.1667,-53.8333,15.22,87,100,3.31,UY,2023-04-22 03:29:44
24,Enewetak,11.3474,162.3373,25.88,83,100,7.09,MH,2023-04-22 03:29:45
25,Geraldton,-28.7667,114.6,29.23,23,85,8.23,AU,2023-04-22 03:29:45
26,Dunedin,-45.8742,170.5036,16.3,65,56,0.84,NZ,2023-04-22 03:29:46
27,Horsham,51.064,-0.3272,5.91,89,94,0.51,GB,2023-04-22 03:29:47
28,Waitangi,-43.9535,-176.5597,16.57,90,100,3.13,NZ,2023-04-22 03:26:18
29,Pemba,-12.974,40.5178,25.39,94,20,3.09,MZ,2023-04-22 03:29:48
30,Ancud,-41.8697,-73.8203,9.87,85,0,1.28,CL,2023-04-22 03:29:49
31,Isafjordur,66.0755,-23.124,-1.0,74,11,3.0,IS,2023-04-22 03:26:44
32,Ribeira Grande,38.5167,-28.7,16.48,93,98,7.5,PT,2023-04-22 03:29:50
33,Iqaluit,63.7506,-68.5145,-1.15,100,100,3.09,CA,2023-04-22 03:29:51
34,Sabha,27.0377,14.4283,23.41,15,39,3.41,LY,2023-04-22 03:29:51
35,Guerrero Negro,27.9769,-114.0611,17.06,65,3,5.95,MX,2023-04-22 03:29:52
36,Loei,17.4167,101.5,28.95,30,0,1.09,TH,2023-04-22 03:29:53
37,Tiksi,71.6872,128.8694,-13.44,87,91,1.46,RU,2023-04-22 03:29:53
38,Olonkinbyen,70.9221,-8.7187,-3.42,59,6,6.2,SJ,2023-04-22 03:29:55
39,Bereznik,62.8551,42.7072,1.41,99,100,1.85,RU,2023-04-22 03:29:56
40,Conchas,-23.0153,-48.0106,13.11,95,0,2.7,BR,2023-04-22 03:29:56
41,Talnakh,69.4865,88.3972,-3.77,83,86,4.8,RU,2023-04-22 03:29:57
42,Sao Joao Da Barra,-21.6403,-41.0511,21.59,76,49,2.81,BR,2023-04-22 03:29:58
43,Port Alfred,-33.5906,26.891,15.66,82,100,3.64,ZA,2023-04-22 03:29:58
44,Edinburgh Of The Seven Seas,-37.0676,-12.3116,17.82,87,43,15.52,SH,2023-04-22 03:25:38
45,Penhalonga,-18.8911,32.6978,14.18,97,100,0.87,ZW,2023-04-22 03:30:00
46,Stanley,54.868,-1.6985,7.61,92,100,4.28,GB,2023-04-22 03:25:42
47,Albany,42.6001,-73.9662,14.96,57,83,1.79,US,2023-04-22 03:25:33
48,West Island,-12.1568,96.8225,28.99,74,40,6.17,CC,2023-04-22 03:29:47
49,Adamstown,-25.066,-130.1015,24.73,84,100,8.4,PN,2023-04-22 03:26:15
50,Halabjah,35.1778,45.9861,18.65,49,3,1.13,IQ,2023-04-22 03:30:04
51,Songwa,-3.5167,33.5167,19.06,82,100,2.44,TZ,2023-04-22 03:30:05
52,Atherton,53.5237,-2.4935,8.49,92,100,0.75,GB,2023-04-22 03:30:06
53,Hamilton,39.1834,-84.5333,10.43,93,100,4.12,US,2023-04-22 03:30:07
54,Longyearbyen,78.2186,15.6401,-14.09,56,20,4.63,SJ,2023-04-22 03:25:37
55,Bredasdorp,-34.5322,20.0403,11.73,74,100,0.96,ZA,2023-04-22 03:26:26
56,Villamontes,-21.25,-63.5,17.19,81,0,1.35,BO,2023-04-22 03:30:08
57,Kodiak,57.79,-152.4072,9.73,40,0,3.6,US,2023-04-22 03:26:06
58,Puerto Ayora,-0.7393,-90.3518,26.42,92,14,2.68,EC,2023-04-22 03:25:39
59,Abdulino,53.7,53.6667,8.7,75,100,3.9,RU,2023-04-22 03:30:12
60,Gebeit,21.0667,36.3167,22.83,57,0,1.18,SD,2023-04-22 03:30:13
61,Independence,39.0911,-94.4155,8.94,45,0,3.09,US,2023-04-22 03:30:14
62,Papatowai,-46.5619,169.4708,18.12,74,95,4.18,NZ,2023-04-22 03:30:14
63,Puerto Natales,-51.7236,-72.4875,2.84,88,100,2.08,CL,2023-04-22 03:30:15
64,Talakan,50.3167,130.3667,6.03,47,68,4.43,RU,2023-04-22 03:30:16
65,General Acha,-37.377,-64.6043,14.28,59,24,6.05,AR,2023-04-22 03:30:16
66,Hilo,19.7297,-155.09,27.93,81,20,7.2,US,2023-04-22 03:30:17
67,Vorkuta,67.5,64.0,-2.64,95,100,4.3,RU,2023-04-22 03:30:18
68,Qaqortoq,60.7167,-46.0333,0.62,65,6,1.19,GL,2023-04-22 03:30:18
69,Cannonvale,-20.2833,148.7,24.66,74,79,9.49,AU,2023-04-22 03:30:20
70,Aginskoye,51.1,114.53,2.63,15,6,3.85,RU,2023-04-22 03:30:21
71,Iskateley,67.6803,53.1512,-6.6,90,54,2.12,RU,2023-04-22 03:30:22
72,Aasiaat,68.7098,-52.8699,-8.0,89,46,3.39,GL,2023-04-22 03:30:23
73,Arzachena,41.0769,9.3887,5.69,55,71,1.05,IT,2023-04-22 03:30:24
74,Ilulissat,69.2167,-51.1,-1.99,86,20,0.0,GL,2023-04-22 03:30:24
75,Extrema,-22.8547,-46.3183,10.68,95,4,1.78,BR,2023-04-22 03:30:25
76,Katsuren-Haebaru,26.3369,127.8719,24.01,77,75,6.17,JP,2023-04-22 03:30:26
77,New London,41.4834,-72.0662,10.45,79,88,2.24,US,2023-04-22 03:30:26
78,Keflavik,64.0049,-22.5624,4.95,87,100,5.14,IS,2023-04-22 03:30:27
79,Wailua Homesteads,22.0669,-159.378,26.24,83,0,3.09,US,2023-04-22 03:25:54
80,Khorugh,37.4897,71.553,1.39,42,0,0.71,TJ,2023-04-22 03:30:24
81,Oranjemund,-28.55,16.4333,10.68,85,13,1.89,NA,2023-04-22 03:30:07
82,Tokar,18.4254,37.729,26.47,72,50,2.81,SD,2023-04-22 03:30:30
83,Andergrove,-21.0833,149.1833,28.14,70,90,8.95,AU,2023-04-22 03:30:31
84,Port Mathurin,-19.6833,63.4167,26.08,78,79,8.22,MU,2023-04-22 03:30:32
85,Codrington,-38.2667,141.9667,19.48,59,43,4.49,AU,2023-04-22 03:30:32
86,Vernal,40.4555,-109.5287,5.84,70,100,3.6,US,2023-04-22 03:30:34
87,Ushuaia,-54.8,-68.3,3.81,75,20,2.06,AR,2023-04-22 03:26:17
88,Las Terrenas,19.311,-69.5428,22.79,90,98,0.58,DO,2023-04-22 03:30:35
89,Bukittinggi,-0.3091,100.3706,24.56,81,31,0.33,ID,2023-04-22 03:30:35
90,Hoa Binh,20.8133,105.3383,34.64,49,94,1.84,VN,2023-04-22 03:27:41
91,Whitehorse,60.7161,-135.0538,7.43,36,20,4.63,CA,2023-04-22 03:30:37
92,Nuevo Imperial,-13.0754,-76.3172,21.11,88,55,0.89,PE,2023-04-22 03:30:37
93,Bilibino,68.0546,166.4372,1.51,92,6,0.73,RU,2023-04-22 03:30:38
94,Tidjikja,18.5564,-11.4271,26.39,20,97,4.9,MR,2023-04-22 03:30:38
95,Itoman,26.1247,127.6694,24.01,81,75,9.26,JP,2023-04-22 03:30:39
96,Suklayin,15.7574,121.5503,31.23,60,55,2.52,PH,2023-04-22 03:30:40
97,Sisimiut,66.9395,-53.6735,-2.61,86,86,2.97,GL,2023-04-22 03:30:40
98,Petrozavodsk,61.7849,34.3469,-1.3,93,100,0.0,RU,2023-04-22 03:30:41
99,Kapa'A,22.0752,-159.319,26.99,83,0,3.09,US,2023-04-22 03:30:41
100,Ceeldheer,3.8488,47.1806,29.0,75,53,6.35,SO,2023-04-22 03:30:42
101,Santa Ana,33.7456,-117.8678,26.98,34,20,3.6,US,2023-04-22 03:30:43
102,Punta Arenas,-53.15,-70.9167,6.06,70,75,7.72,CL,2023-04-22 03:30:43
103,Puerto Armuelles,8.2833,-82.8667,24.99,83,91,2.33,PA,2023-04-22 03:30:44
104,Hawaiian Paradise Park,19.5933,-154.9731,26.73,80,20,7.2,US,2023-04-22 03:30:44
105,Atafu Village,-8.5421,-172.5159,29.08,73,10,4.31,TK,2023-04-22 03:30:45
106,Margaret River,-33.95,115.0667,23.74,37,0,2.62,AU,2023-04-22 03:30:46
107,Homer,59.6425,-151.5483,9.33,67,0,2.68,US,2023-04-22 03:30:46
108,Gaspe,48.8334,-64.4819,0.95,100,0,2.06,CA,2023-04-22 03:30:47
109,Tralee,52.2704,-9.7026,5.06,95,50,2.22,IE,2023-04-22 03:30:48
110,Al Bawiti,28.3492,28.8659,16.06,57,99,4.59,EG,2023-04-22 03:30:48
111,Avarua,-21.2078,-159.775,25.03,83,100,2.57,CK,2023-04-22 03:29:55
112,Tangwani,28.2787,68.9972,30.83,17,0,5.41,PK,2023-04-22 03:30:49
113,Tocopilla,-22.092,-70.1979,19.79,72,49,1.34,CL,2023-04-22 03:30:50
114,Yung Shue Wan,22.2333,114.1167,26.3,84,100,8.77,HK,2023-04-22 03:30:51
115,Happy Valley-Goose Bay,53.3168,-60.3315,0.17,80,20,3.09,CA,2023-04-22 03:30:51
116,Galle,6.0367,80.217,29.06,76,85,2.92,LK,2023-04-22 03:29:27
117,Suntar,62.1444,117.6319,0.57,68,37,1.88,RU,2023-04-22 03:30:53
118,Pisco,-13.7,-76.2167,22.03,83,100,6.17,PE,2023-04-22 03:30:53
119,Santa Elena De Uairen,4.6167,-61.1333,20.65,91,100,0.73,VE,2023-04-22 03:30:54
120,Tot'Ma,59.9747,42.7642,4.95,83,84,0.55,RU,2023-04-22 03:30:54
121,Al Majaridah,19.1236,41.9111,28.69,48,3,1.37,SA,2023-04-22 03:30:55
122,Petropavlovsk-Kamchatsky,53.0452,158.6483,3.21,70,75,8.0,RU,2023-04-22 03:29:21
123,Troitskoye,52.9821,84.6757,1.6,81,77,3.19,RU,2023-04-22 03:30:56
124,Chonchi,-42.6128,-73.8092,10.62,90,84,0.65,CL,2023-04-22 03:30:58
125,Aljezur,37.3191,-8.8033,12.19,88,96,2.48,PT,2023-04-22 03:30:59
126,Richfield,44.8833,-93.283,1.43,82,100,4.12,US,2023-04-22 03:31:00
127,Bengkulu,-3.8004,102.2655,28.85,69,47,1.3,ID,2023-04-22 03:29:18
128,Aral,40.5156,81.2636,16.75,25,100,4.06,CN,2023-04-22 03:31:01
129,Sao Vicente,-23.9631,-46.3919,21.66,26,9,1.6,BR,2023-04-22 03:31:03
130,Cabedelo,-6.9811,-34.8339,25.37,75,100,5.24,BR,2023-04-22 03:31:04
131,Hazaribagh,23.9833,85.35,31.37,22,89,2.85,IN,2023-04-22 03:27:32
132,Ponta Delgada,37.7333,-25.6667,16.4,94,75,7.72,PT,2023-04-22 03:31:05
133,Nenjiang,49.1833,125.2167,5.5,30,78,7.01,CN,2023-04-22 03:31:06
134,Mhamid,29.82,-5.72,20.64,39,2,4.33,MA,2023-04-22 03:31:06
135,Minas De Marcona,-15.2119,-75.1103,16.89,80,19,2.61,PE,2023-04-22 03:31:07
136,Crane,31.3974,-102.3501,19.13,11,2,3.19,US,2023-04-22 03:31:07
137,Sitka,57.0531,-135.33,7.94,76,100,3.6,US,2023-04-22 03:31:08
138,Dakhla,23.6848,-15.958,18.54,81,67,6.92,EH,2023-04-22 03:31:09
139,Taksimo,56.3444,114.8794,-0.31,28,18,0.79,RU,2023-04-22 03:31:09
140,Fortuna,40.5982,-124.1573,12.18,92,96,0.45,US,2023-04-22 03:31:10
141,Whangarei,-35.7317,174.3239,20.87,96,100,2.2,NZ,2023-04-22 03:29:38
142,Terrace,54.5163,-128.6035,10.95,43,100,4.63,CA,2023-04-22 03:31:11
143,Arraial Do Cabo,-22.9661,-42.0278,21.12,79,0,2.03,BR,2023-04-22 03:26:58
144,Thames,-37.1333,175.5333,19.39,99,100,4.48,NZ,2023-04-22 03:31:13
145,Agadez,19.75,10.25,27.09,14,29,5.56,NE,2023-04-22 03:31:14
